country,total.migration2spain,mean.track.duration_ms,mean.track.explicit,mean.danceability,mean.energy,mean.key,mean.loudness,mean.speechiness,mean.acousticness,mean.instrumentalness,mean.liveness,mean.valence,mean.tempo,mean.musicalsim2spain,total.population,percentage.spanishSpkrs
Brazil,0.6874087200323119,-0.21596404040982256,-0.14139573410534134,-0.04769535865083824,0.6230336055398054,0.011156706481034208,0.8137248091395444,0.0017237372423268157,0.3829180952342202,-0.05056028392247163,1.4557759676397168,0.5114145473129872,0.24368797638768958,0.38929896725983465,0.06766357121480567,-0.7083754862040418
Chile,-0.01416635415774469,0.13365921793488042,0.36762890867388764,0.7901262576030446,0.4939385596171698,-0.10763280819988684,0.62857741015749,-0.045366571803428714,-0.3742018521221929,-0.08834928134137932,-0.05966392323011764,0.33764232735619826,-0.5193848919147135,0.8606418858728563,-0.15466253221578732,1.6255002771721376
Colombia,3.5335574380491632,0.10423364593992739,0.2326765244771442,0.6633311263567275,0.43299599532426764,0.04372044606722025,0.7187059951565463,0.20489053832383303,-0.19878856115694798,-0.119902168551733,-0.011491251660885372,0.28300172081084074,-0.04889937680400793,0.8961978304972201,-0.11829215160186068,1.623089248490964
Ecuador,2.625074520901266,0.1017118636198,0.03073820306637862,0.5100764615351676,0.3404296019506518,-0.337303296502809,0.6654830751386054,0.00037990801361926883,-0.24011382497547162,-0.1451581198182054,-0.08188006583326364,0.05423951812087628,-0.24794633087011986,0.8726690172979122,-0.1574143372700907,1.5965679329980529
Peru,1.4035926471078126,0.1062064181948781,0.011402881782688888,0.5121087869979285,0.4820128937685001,-0.2909662224907036,0.843322664468789,-0.07004769525598713,-0.3149107823287464,-0.16426981212111286,-0.0790183418138089,0.11986377760428041,-0.2538123816709213,0.9052293965228423,-0.13905048917027893,1.3192996346630728
India,-0.048762740083294176,0.30701675739680423,-0.5692555528916342,-0.24948681148775642,-0.17846941539876846,-0.042645687343603765,-0.22371416290543214,-0.25519020678879123,0.32016820263017043,-0.12148119379676187,-0.11880274353920858,-0.20896069205837564,-0.11820330163093051,-0.53785480269463,1.4096498023526733,-0.7685788723729502
Israel,-0.45279697580081707,0.030494337379909513,-0.17674466763167665,-0.24352802159359493,-0.17631019113257015,-0.04560859545633304,-0.01972078562621001,-0.23373766255372383,0.10089290866644295,-0.1364908904635289,0.24587988898519933,-0.3415630931768595,0.13222987269558956,-0.42722305058166055,-0.16921507853657516,-0.7083754862040418
Japan,-0.4287940568834785,0.5884985849449255,-0.7069786705267067,-0.38893029986600747,0.7801240493441703,-0.28081371751052325,0.8791983057872276,-0.5095161491597243,-0.47124117099850615,-0.17200424699660388,0.1656938461024141,0.22676037284913572,-0.054963960627748526,0.38071526877484957,-0.031684438119058994,-0.7662401745522116
Australia,-0.42721472143640343,0.12135894951393204,0.18604701855965977,-0.3283821869734655,-0.3484734988022628,-0.0857016848069043,-0.17844273601759325,0.008992476982235157,-0.021806608707435005,-0.05065247267652408,0.055406057130020114,-0.3862976720406886,0.1283546029460244,-0.6546688855086502,-0.15274089220712309,-0.7083754862040418
New Zealand,-0.4715031612140502,0.12084491181425733,0.2592255125264593,-0.04978407656788122,-0.2778121262240688,0.05260929754156395,-0.11749920006458867,0.0677161436409714,-0.17082824089325233,0.01693327278244832,-0.10281174715721149,-0.3258753233196494,0.10547091874542876,-0.39863540152669347,-0.17149172013466343,-0.7421298877404742
